,Model,Accuracy,CV Mean
0,Logistic Regression,0.7912457912457912,0.7844893603665809
1,SVM,0.8406285072951739,0.8282593685267716
2,KNN,0.8619528619528619,0.8013621241604418
3,Decision Tree,0.9820426487093153,0.7654635616094406
4,Naive Bayes,0.6722783389450057,0.672311844830833
5,Random Forest,0.9809203142536476,0.8013621241604418
6,Logistic Regression (GridSearchCV - best),0.8103254769921436,0.7935095097608436
7,Linear SVM (GridSearchCV - best),0.7867564534231201,0.7867365513778168
8,KNN (GridSearchCV - best),0.8653198653198653,0.8137153976523759
9,Decision Tree (RandomizedSearchCV - best),0.7867564534231201,0.773316176009039
10,Random Forest (RandomizedSearchCV - best),0.9820426487093153,0.7912685958194714
